ch,ring_ID,sex,site,year,nest_ID
0010000000000010001000100010001000100010001000100000000010001000000010000000000010000000100000000000000000000000,GN76860,F,kapunga,2016,2016_36
0010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76924,F,kapunga,2016,2016_71
1000100010001000100010000010001000100010001000100010001000100010001000100010001000100010001000100000001000000010,GN76724,F,utengule,2015,2015_11
1000100010001000100010001000100010001000001000000000100000000000100000000000000000000000000000000000000000000000,GN56991,F,kapunga,2014,2014_16
0000100010001000100010001000100010001010001000001000100010001000100000001000000000001000000000001000000010000000,GN56994,M,kapunga,2014,2014_03
0010001000100010001000001000100000100010001000100000001000000000000000100010000000100000000000000000000000000000,GN76620,F,kapunga,2014,2014_22
0010101000100010000010001000100010001000100010001000100010001000100010001000100010001000000010001000000000000000,GN76633,M,kapunga,2014,2014_25
1000100010001000001000100010000000110000000000000000000000000000000000000000000000000000000000000000000000000000,GN76673,F,kapunga,2014,2014_58
0000100010001000100010001000100010001000100010001000000000100010000000100010000000100000001000000000001000000000,GN76861,M,kapunga,2016,2016_36
1000100010000000100010000000100010000000000000110000000000000000000000000000000000000000000000000000000000000000,GN76923,F,kapunga,2016,2016_71
1000100010001000100000001000001000001000100010001000100010000011000000000000000000000000000000000000000000000000,GN76987,F,kapunga,2017,2017_20
1000100010001000000010000010000010001000100010001000100000100010001000100010001000000010001000100000100010001000,GN76990,F,kapunga,2017,2017_20
1000100010001000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN90503,F,kapunga,2017,2017_28
1000100010000010001000100010001000100010001000100010000010001000100010000000100000100000000000000000000000000000,GN90505,F,kapunga,2017,2017_28
1000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN90588,M,floodplain,2018,2018_36
1000000000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN90592,M,floodplain,2018,2018_34
0010001000100010001000100010001000100010001000100010001000100000001000000010000000000000000000000000000000000000,GN76791,M,utengule,2015,2015_48
0010001000100010001000100010001000100010001000100010001000100010001000100010001000100000000000000000000000000000,GN76794,M,utengule,2015,2015_56
0010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000000000000000000000,GN76797,M,utengule,2015,2015_56
0010001000100010001000100010001000100010001010001000000000000000001000100010001000100000001000100010001000000010,GN56986,F,kapunga,2014,2014_16
0010001000100010100010001000100010001000100010000000001000100010001000100010001000100010001000100010001000100010,GN56987,M,kapunga,2014,2014_21
0010001000100010100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN56989,F,kapunga,2014,2014_21
0010001000100010001000000010001000101000000000000010001000100010001000100000001000100010001000000010000010000010,GN76607,M,kapunga,2014,2014_24
0000100010001000100010001000100000100010001000100010001000100010001000100010001000100010001000100010001000000010,GN76665,F,kapunga,2014,2014_61
0000100000001000100010001000100010001000100010001000100010001000100010001000000010000000000000000000000000000000,GN76680,M,kapunga,2014,2014_62
