sn,year,colour_ring_ID,ring_ID,sex,species,site,age_status,#YearsOfEncounters,Nr_partners,ID_partner(s),Comment on mates,
1,2001,barr tailed female,bar_tailed_female,Female,BC,Kapunga,adult,1,2,,,
2,2001,WRCI,GN 41701,Female,BC,Kapunga,adult,1,3,GN 41752 & unringedms,,
3,2001,Y7,GN 41702,Male,BC,Kapunga,adult,1,1,,,
4,2001,W1,GN 41703,Female,BC,Kapunga,adult,1,2,GN 41707; GN 41713,She had at least 2 known males; possibly had more,
5,2001,Y2,GN 41704,Male,BC,Kapunga,adult,1,1,GnRH_fem,,
6,2001,W3,GN 41705,Female,BC,Kapunga,adult,1,NA,,No sufficient details about number of partners,
7,2001,Y4,GN 41706,Male,BC,Kapunga,adult,1,1,unringedf#1,,
8,2001,Y5,GN 41707,Male,BC,Kapunga,adult,1,1,GN_41703,,
9,2001,Bl_not yet tagged,GN 41708,Male,BC,Kapunga,adult,1,1,GnRH_fem,,
10,2001,RYS,GN 41714,Male,BC,Kapunga,adult,1,1,unringedf,,
11,2001,RED,GN 41715,Male,BC,Kapunga,adult,1,1,GN 41727,,
12,2001,YRCI,GN 41716,Male,BC,Kapunga,adult,1,1,unringedf,,
13,2001,RWF,GN 41717,Female,BC,Kapunga,adult,1,1,GN 41720,Only one male known from both behavioural and parentage data,
14,2001,WROF,GN 41718,Female,BC,Kapunga,adult,1,NA,,No sufficient details about number of partners,
15,2001,YBCI,GN 41720,Male,BC,Kapunga,adult,1,1,GN 41717,Incubated 3 nests from the same female!,
16,2001,WBLCI,GN 41724,Female,BC,Kapunga,adult,1,NA,,No sufficient details about number of partners,
17,2001,WBCI,GN 41727,Female,BC,Kapunga,adult,1,2,,She had at least 2 known males; possibly had more,
18,2001,BW,GN 41735,Female,BC,Kapunga,adult,1,NA,,No sufficient details about number of partners,
19,2001,WGCI,GN 41743,Female,BC,Kapunga,adult,1,NA,,No sufficient details about number of partners,
20,2001,YGCI,GN 41751,Male,BC,Kapunga,adult,1,1,GnRH_fem,,
21,2001,str plumage male,GN 41752,Male,BC,Kapunga,adult,2,1,GN 41701,,
22,2001,GNRH female,GNRH female,Female,BC,Kapunga,adult,1,4,GN_41708; GN_41751; GN 41768; GN 41704,,
23,2001,NA,GN 41768,Male,BC,Kapunga,adult,1,1,GnRH_fem,,
24,2002,BLYT,GN 41752,Male,BC,Kapunga,adult,2,1,,,
25,2002,YEL,GN 41771,Male,BC,Kapunga,adult,1,1,,,
26,2002,WHI,GN 41772,Female,BC,Kapunga,adult,1,NA,,No sufficient details about number of partners,
27,2002,RED,GN 41773,Male,BC,Kapunga,adult,1,1,GN 41781,,
28,2002,YBC,GN 41774,Male,BC,Kapunga,adult,1,1,,,
29,2002,YBS,GN 41775,Male,BC,Kapunga,adult,1,1,unringedf#8,,
30,2002,WBC,GN 41776,Female,BC,Kapunga,adult,1,NA,GN 41776,1 male partner identified; but no detailed observation of all partners!,
31,2002,WBS,GN 41777,Female,BC,Kapunga,adult,1,NA,,No sufficient details about number of partners,
32,2002,WGC,GN 41778,Female,BC,Kapunga,adult,1,2,,Two uncaptured males known from parentage; so she had at least 2 males,
33,2002,YPC,GN 41779,Male,BC,Kapunga,adult,1,1,,,
34,2002,RBC,GN 41780,Male,BC,Kapunga,adult,1,1,,,
