SN,year,species,date,date,Alu,short_ID,sex,body_mass,right_tarsus,bill_length,wing_length,tail_body,date_dec_initially_ringed,date_initially_ringed,date_dec_last_observed,date_last_observed,status_last_observed,days_from_ringing_until_last_observation,age1,status1,Blanck1,Event_dateWBC,LastAgeWBC,status2,StatusWBC,Years_survivedWBC,Blanck2,ageC,statusC
1,2001,BC,20010131,1/31/2001,GN 41702,Y7,male,108,40.6,22.9,149,158,20010131,36922,20010501,5/1/2001,alive,90,390,0,,NA,NA,NA,NA,NA,,390,0
2,2001,BC,20010206,2/6/2001,GN 41703,W1,female,152,43.45,26.3,163,NA,20010206,36928,20010508,5/8/2001,alive,91,397,0,,NA,NA,NA,NA,NA,,397,0
3,2001,BC,20010211,2/11/2001,GN 41704,Y2,male,96,41.35,24,159,173,20010211,36933,20010501,5/1/2001,alive,79,390,0,,NA,NA,NA,NA,NA,,390,0
4,2001,BC,20010213,2/13/2001,GN 41705,W3,female,176,42.8,26,175,187,20010213,36935,20010222,2/22/2001,alive,9,322,0,,NA,NA,NA,NA,NA,,322,0
5,2001,BC,20010216,2/16/2001,GN 41706,Y4,male,110,39.4,27,160,185,20010216,36938,20010512,5/12/2001,alive,85,766,0,,NA,NA,NA,NA,NA,,766,0
6,2001,BC,20010216,2/16/2001,GN 41707,Y5,male,96,39.8,22.6,154,165,20010216,36938,20010513,5/13/2001,alive,86,402,0,,NA,NA,NA,NA,NA,,402,0
7,2001,BC,20010228,2/28/2001,GN 41708,BL,male,88,38.7,22.5,150,148,20010228,36950,20010511,5/11/2001,alive,72,400,0,,NA,NA,NA,NA,NA,,400,0
8,2001,BC,20010308,3/8/2001,GN 41713,YR,male,88,34.8,23.8,152,170,20010308,36958,20010512,5/12/2001,alive,65,766,0,,NA,NA,NA,NA,NA,,766,0
9,2001,BC,20010309,3/9/2001,GN 41714,RYS,male,95,39,24.5,157,180,20010309,36959,20010512,5/12/2001,alive,64,401,0,,NA,NA,NA,NA,NA,,401,0
10,2001,BC,20010312,3/12/2001,GN 41715,RED,male,110,38.8,24.6,149,NA,20010312,36962,20010512,5/12/2001,alive,61,401,0,,NA,NA,NA,NA,NA,,401,0
11,2001,BC,20010313,3/13/2001,GN 41716,YRCI,male,102,41.9,23.3,151,160,20010313,36963,20010512,5/12/2001,alive,60,766,0,,NA,NA,NA,NA,NA,,766,0
12,2001,BC,20010314,3/14/2001,GN 41717,RWF,female,163,40.4,25.7,170,155,20010314,36964,20010512,5/12/2001,alive,59,766,0,,NA,NA,NA,NA,NA,,766,0
13,2001,BC,20010315,3/15/2001,GN 41701,WRCI,female,152,41.4,25.7,174,200,20010315,36965,20010508,5/8/2001,alive,54,762,0,,NA,NA,NA,NA,NA,,762,0
14,2001,BC,20010316,3/16/2001,GN 41718,WROF,female,140,43.7,26.4,170,190,20010316,36966,20010325,3/29/2001,dead,13,722,1,,NA,NA,NA,NA,NA,,722,1
15,2001,BC,20010318,3/18/2001,GN 41720,YBCI,male,94,39.9,24.4,148,149,20010318,36968,20010512,5/12/2001,alive,55,766,0,,NA,NA,NA,NA,NA,,766,0
16,2001,BC,20010327,3/27/2001,GN 41724,WBLCI,female,162,41.6,26.1,172,190,20010327,36977,20020312,3/12/2002,alive,350,705,0,,NA,NA,NA,NA,NA,,705,0
17,2001,BC,20010327,3/27/2001,GN 41727,WBCI,female,174,44.5,26.9,170,183,20010327,36977,20010508,5/8/2001,alive,42,397,0,,NA,NA,NA,NA,NA,,397,0
