sn,species,lab_no,sex,pref_age,pref_status,blank_space,postf_age,postf_status,blanck,ageC,statusC,blanck,year,nest_ID,lay_date,Chick_trivial_ID,Ring_ID,site,Relative_hatch_order,hatch_order,age_diff,clutch_size,brood_size,No_fledgelings,Fledged?,Fledge_age,Fledge_mass,Fledge_tarsus,Fledge_FS,Fledge_FSO,blanck,ID_Bio_mom,ID_Bio_dad,paternity_text,paternity,Fledged,got_sender,Excluded_from_sendered,Last_recorded_age_days,Final_status,Details_about_final_status,Issues
1,BC,WG06_018,F,12,0,,NA,NA,,12,0,,2001,2001_01,35,GN 41710 chick RBC,GN 41710,Kapunga,0.2,1,0,4,4,3,No,12,74,30.1,45,15,,BC#1,WG06_008,WPO,0,Yes,No,,12,Censored,,
2,BC,WG06_010,M,12,0,,NA,NA,,12,0,,2001,2001_01,35,GN 41711 chick RBC,GN 41711,Kapunga,0.4,2,1,4,4,3,Yes,12,60,28.4,35,5,,BC#1,WG06_008,WPO,0,Yes,No,,12,Censored,,
3,BC,WG06_023,M,11,0,,NA,NA,,11,0,,2001,2001_01,35,GN 41709 RBC chick,GN 41709,Kapunga,0.8,3,2,4,4,3,Yes,11,62,29,38,4,,BC#1,WG06_008,WPO,0,Yes,No,,11,Censored,,
4,BC,WG06_039,M,10,0,,NA,NA,,10,0,,2001,2001_01,35,GN 41712 chick RBC,GN 41712 ,Kapunga,1,4,3,4,4,3,Yes,10,61,28.5,35,1,,BC#1,WG06_008,WPO,0,Yes,No,,10,Censored,,
5,BC,WG06_009,F,14,0,,NA,NA,,14,0,,2001,2001_02,60,Y5 #2 RBC ,GN 41729,Kapunga,0.4,2,1,6,5,3,Yes,14,59,27.4,24,2,,WG06_005,WG06_004,WPO,0,Yes,No,,14,Censored,,
6,BC,WG06_027,F,14,0,,NA,NA,,14,0,,2001,2001_02,60,Y5 #1 chick,GN 41725,Kapunga,0.2,1,0,6,5,3,Yes,14,84,29,32,3,,WG06_005,WG06_004,WPO,0,Yes,No,,14,Censored,,
7,BC,WG06_043,F,4,1,,NA,NA,,4,1,,2001,2001_02,60,Y5 chick #3 skin sample ,NA,Kapunga,0.6,3,1,6,5,3,No,NA,NA,NA,NA,NA,,WG06_005,WG06_004,WPO,0,No,No,,4,dead,,
8,BC,WG06_121,F,12,0,,NA,NA,,12,0,,2001,2001_02,60,GN 41726,GN 41726,Kapunga,0.8,4,2,6,5,3,Yes,12,68,28.6,25,0,,WG06_005,WG06_004,WPO,0,Yes,No,,12,Censored,,
9,BC,WG06_011,M,18,1,,NA,NA,,18,1,,2001,2001_03,51,D12/13 chick #2,,Kapunga,0.4,2,0,4,3,2,No,NA,NA,NA,NA,NA,,WG06_007,WG06_041,WPO,0,No,No,,18,dead,,
10,BC,WG06_014,M,12,0,,NA,NA,,12,0,,2001,2001_03,51,D12/13 chick #3,,Kapunga,0.8,3,2,4,3,2,yes,12,75,32.1,NA,NA,,WG06_007,WG06_041,WPO,0,yes,No,,12,Censored,,
