SN,Year,Spp,Nst_No,Nst_Name,Ind_ID,Lab_No,Sex,Fledge_age,Age_1st_Flight,days_since_fledging,comment,Blank,Relative_hatch_order,Absolute_hatch_order,clutch_size,brood_size,No_fledgelings,Fledge_mass,Fledge_tarsus,Fledge_FS,Fledge_FSO
1,2014,BC,2014_16,LBAB/YAG NST1,GN 56986,CW14_036,Female,13,32,19,flew off,,0.2,1,4,3,3,74,31,37,0
2,2014,BC,2014_21,BC NST (21) A224,GN 56987,CW14_039,Male,13,33,20,flew off,,0.2,1,4,3,3,75.5,29.8,40,12
3,2014,BC,2014_03,WAO/PUAR NST1,GN 56992,CW14_031,Male,16,53,37,flew off,,0.4,2,4,4,4,71,32.2,45,15
4,2014,BC,2014_03,WAO/PUAR NST1,GN 56993,CW14_033,Male,16,45,29,flew off,,0.8,3,4,4,4,76,30.2,36,11
5,2014,BC,2014_03,WAO/PUAR NST1,GN 56994,CW14_032,Male,12,29,17,flew off,,0.2,1,4,4,4,65.5,29,35,7
6,2014,BC,2014_13,PAY NST1,GN 56997,CW14_044,Female,13,37,24,flew off,,0.2,1,4,4,3,79,31.4,36,0
7,2014,BC,2014_13,PAY NST1,GN 56999,CW14_043,Male,13,31,18,flew off,,0.4,2,4,4,3,66,29.3,38,0
8,2014,WBC,2014_06,W-LBAG NST1,GN 76603,CW14_014,Male,15,32,17,flew off,,0.2,1,4,4,4,107,31.6,50,16
9,2014,WBC,2014_06,W-LBAG NST1,GN 76604,CW14_016,Male,16,29,13,flew off,,0.4,2,4,4,4,100,33.9,58,34
10,2014,BC,2014_03,WAO/PUAR NST1,GN 76605,CW14_034,Female,16,51,35,flew off,,1,4,4,4,4,81,28.3,22,0
11,2014,BC,2014_24,YAG NST3,GN 76606,CW14_049,Female,14,41,27,flew off,,0.2,1,4,4,4,77,31.9,45,9
12,2014,BC,2014_24,YAG NST3,GN 76607,CW14_050,Male,13,40,27,flew off,,0.4,2,4,4,4,71,31.2,42,9
13,2014,WBC,2014_09,W-PAR NST2,GN 76610,CW14_010,Male,15,29,14,flew off,,0.8,3,4,4,4,82.5,29.9,48,19
14,2014,WBC,2014_09,W-PAR NST2,GN 76613,CW14_011,Female,16,32,16,flew off,,0.4,2,4,4,4,82.5,29.2,46,20
15,2014,WBC,2014_06,W-LBAG NST1,GN 76614,CW14_013,Male,17,30,13,flew off,,0.8,3,4,4,4,104.5,32.6,58,56
16,2014,BC,2014_22,PUAR NST2,GN 76619,CW14_054,Female,14,37,23,flew off,,0.6,3,6,5,3,82.5,32.8,39,0
17,2014,BC,2014_22,PUAR NST2,GN 76620,CW14_053,Female,12,34,22,flew off,,0.2,1,6,5,3,83,29.4,32,0
18,2014,BC,2014_22,PUAR NST2,GN 76622,CW14_055,Male,15,40,25,flew off,,0.8,4,6,5,3,70.5,28.5,30,0
19,2014,WBC,2014_08,W-OAO NST2,GN 76624,CW14_006,Female,15,45,30,flew off,,0.2,1,4,4,4,95.5,31.2,49,0
20,2014,WBC,2014_08,W-OAO NST2,GN 76625,CW14_005,Male,15,43,28,flew off,,1,4,4,4,4,92,30.1,45,10
21,2014,WBC,2014_08,W-OAO NST2,GN 76626,CW14_007,Female,14,54,40,flew off,,0.4,2,4,4,4,93,30,48,20
22,2014,BC,2014_25,LBAW/YAR NST2,GN 76633,CW14_061,Male,12,31,19,flew off,,0.2,1,5,5,1,48,26.8,37,0
23,2014,BC,2014_35,WAR/PAY NST,GN 76641,CW14_077,Female,16,38,22,flew off,,0.4,2,5,4,4,72.5,31.4,54,21
24,2014,WBC,2014_37,W-LBAG NST2,GN 76651,CW14_019,Female,16,51,35,flew off,,0.2,1,5,5,4,113.5,44,62,29
25,2014,WBC,2014_37,W-LBAG NST2,GN 76656,CW14_018,Male,17,46,29,flew off,,0.6,3,5,5,4,111,32.2,58,33
26,2014,WBC,2014_41,W-PAR/W-YAY2 NST3,GN 76661,CW14_024,Female,11,40,29,flew off,,0.4,2,4,2,2,90,30.8,38,15
27,2014,BC,2014_61,GAW NST6,GN 76665,CW14_105,Female,13,32,19,flew off,,0.8,3,4,4,4,78.5,29.5,44,20
28,2014,BC,2014_45,RAY/PUAR NST4,GN 76666,CW14_102,Female,13,40,27,flew off,,0.2,1,4,3,3,83,30.8,32,0
29,2014,BC,2014_50,LBAB/YAG NST7,GN 76671,CW14_109,Male,14,42,28,flew off,,0.4,2,4,3,3,67,26.4,34,0
30,2014,BC,2014_50,LBAB/YAG NST7,GN 76672,CW14_111,Female,16,40,24,flew off,,0.8,3,4,3,3,79.5,29.7,47,15
31,2014,BC,2014_53,PAY NST5,GN 76675,CW14_112,Male,18,33,15,flew off,,0.2,1,5,4,1,70,29.2,50,18
32,2014,BC,2014_62,WAO/PUAR NST6,GN 76680,CW14_125,Male,13,29,16,flew off,,0.2,1,5,4,3,78.5,30.3,33,0
33,2014,BC,2014_62,WAO/PUAR NST6,GN 76681,CW14_126,Male,14,32,18,flew off,,0.6,3,5,4,3,77.5,29.8,34,4
34,2014,BC,2014_55,PAG NST3,GN 76682,CW14_121,Female,18,32,14,flew off,,1,5,6,5,3,70,29.6,47,19
35,2015,WBC,2015_04,W RAPP NST1(4),GN 76716,CW15_008,Male,16,25,9,Flew off,,0.2,1,5,4,4,90,31.6,45.1,15
36,2015,WBC,2015_04,W RAPP NST1(4),GN 76719,CW15_010,Male,15,22,7,Flew off,,0.6,3,5,4,4,74,29.3,47,21
37,2015,BC,2015_07,BAO NST1(7),GN 76736,CW15_063,Female,16,36,20,Flew off,,1,4,4,4,4,66,31.4,37,12
38,2015,BC,2015_07,BAO NST1(7),GN 76737,CW15_062,Male,14,36,22,Flew off,,0.4,2,4,4,4,59.5,29.4,40.5,14
39,2015,WBC,2015_08,W BAO Nst1(8),GN 76742,CW15_019,Female,16,20,4,Flew off,,0.2,1,2,1,1,83,32.1,53,25
40,2015,WBC,2015_10,W WAW Nst1(10),GN 76734,CW15_012,Female,18,34,16,Flew off,,0.2,1,3,3,3,87,32.3,66,35
41,2015,WBC,2015_10,W WAW Nst1(10),GN 76735,CW15_013,Male,17,43,26,Flew off,,0.6,2,3,3,3,82,31.2,56,24
42,2015,BC,2015_11,OAY NST 1(11),GN 76724,CW15_061,Female,12,38,26,Flew off,,0.2,1,3,1,1,83,29.7,37,0
43,2015,BC,2015_15,BAO Nst2(15),GN 76743,CW15_068,Male,15,31,16,Flew off,,0.2,1,4,4,4,62,28,44,22.5
44,2015,BC,2015_15,BAO Nst2(15),GN 76757,CW15_066,Male,16,32,16,Flew off,,0.4,2,4,4,4,62,27.1,43,22.5
45,2015,WBC, 2015_16,W LBAR Nst1(16),GN 76711,CW15_006,Female,14,33,19,Flew off,,0.8,3,4,4,4,95.5,31.8,45.3,21
46,2015,WBC, 2015_16,W LBAR Nst1(16),GN 76712,CW15_004,Male,16,39,23,Flew off,,0.2,1,4,4,4,83.5,32.4,52.8,33.2
47,2015,WBC,2015_18,W-WAB Nst1(18),GN 76751,CW15_025,Male,14,31,17,Flew off,,0.2,1,4,4,4,93,32.3,57,38
48,2015,WBC,2015_18,W-WAB Nst1(18),GN 76752,CW15_024,Female,14,29,15,Flew off,,0.4,2,4,4,4,96,31.1,51,28
49,2015,WBC,2015_18,W-WAB Nst1(18),GN 76760,CW15_026,Male,13,20,7,Flew off,,0.8,3,4,4,4,75,30.1,53,26
50,2015,BC,2015_21,GAR Nst1(21),GN 76763,CW15_074,Male,16,35,19,Flew off,,0.4,2,4,3,3,44,28.5,44,23
51,2015,BC,2015_21,GAR Nst1(21),GN 76764,CW15_070,Female,17,32,15,Flew off,,0.2,1,4,3,3,48,28,43,20
52,2015,WBC,2015_28,W LBAG-W OAR Nst1(28) ,GN 76771,CW15_032,Female,15,34,19,Flew off,,0.6,2,3,3,3,106,31,44,10
53,2015,WBC,2015_28,W LBAG-W OAR Nst1(28) ,GN 76773,CW15_035,Male,14,31,17,Flew off,,1,3,3,3,3,71,28.5,35,10
