id;enter;exit;death;x1;x2;x3
1;0;16;1;5.8;0;2
2;0;75;0;6.9;1;1
3;0;4;1;2.3;0;3
4;2;56;1;7.9;1;2
5;3;8;1;2;0;2
6;7;49;1;8.2;1;3
7;14;71;1;4.4;0;1
8;15;16;1;2.3;0;2
9;16;100;0;7.6;1;3
10;16;18;1;2.9;0;2
11;27;99;0;8.4;1;1
12;28;33;1;4.6;1;3
13;29;85;0;6.7;1;2
14;30;33;1;3.6;0;3
15;30;34;1;3.1;0;1
16;30;35;1;2.4;0;2
17;31;42;0;5.5;1;3
18;32;44;1;5;0;1
19;32;100;0;7.1;0;2
20;32;36;1;4.1;0;3
21;37;41;1;2.2;0;2
22;37;38;1;1.8;0;3
23;38;79;0;7.2;1;1
24;40;43;1;1.7;0;2
25;41;100;0;9.8;1;3
26;42;43;1;2.6;0;2
27;44;100;0;9.1;1;3
28;45;67;1;7.8;1;2
29;47;50;1;3.2;0;1
30;50;100;0;8.2;1;3
