nestid,sp,year,enter,exit,edgedist,corridor,predation
S12,0,1,160,161,5.71,0,1
S15,0,1,161,162,5.51,1,1
S47,0,1,166,167,4.5,1,1
S5,0,1,158,159,4.45,1,1
S179,0,2,160,270,5.71,0,0
S180,0,2,160,240,5.51,1,0
S90,0,2,159,160,4.5,1,1
P29,1,1,157,234,1.21,1,0
P39,1,1,183,293,6.89,1,0
S59,0,1,169,170,3.32,1,1
S60,0,1,169,170,0.32,1,1
S61,0,1,169,170,1.68,1,1
S73,0,1,161,251,1.36,1,0
S74,0,1,162,244,2.34,1,0
P97,1,2,183,258,2.34,1,0
S102,0,2,161,164,6.89,1,1
S125,0,2,164,165,3.32,1,1
S138,0,2,165,171,1.68,1,1
S139,0,2,164,165,2.54,1,1
S140,0,2,164,165,1.28,1,1
S141,0,2,164,165,3.56,1,1
S142,0,2,164,165,2.31,1,1
S143,0,2,164,165,1.21,1,1
S144,0,2,164,165,2.34,1,1
S157,0,2,168,171,0.32,1,1
S163,0,2,171,172,1.43,1,1
S186,0,2,162,249,1.36,1,0
S83,0,2,158,159,1.53,0,1
S10,0,1,159,160,8.67,1,1
S27,0,1,163,164,8.61,1,1
S53,0,1,166,167,8.23,1,1
S62,0,1,169,170,8.55,1,1
S120,0,2,163,164,18.06,1,1
S129,0,2,164,165,29.32,1,1
S133,0,2,164,165,15.44,1,1
S134,0,2,164,165,16.33,1,1
S135,0,2,164,165,28.01,1,1
S136,0,2,164,165,17.21,1,1
S137,0,2,164,165,16.45,1,1
S148,0,2,165,166,17.92,1,1
S152,0,2,166,167,18.94,1,1
S153,0,2,166,167,15.58,1,1
S162,0,2,170,171,16.18,1,1
S168,0,2,174,175,16.21,1,1
S169,0,2,174,175,15.67,1,1
S170,0,2,174,175,14.86,1,1
S171,0,2,174,175,16.31,1,1
S174,0,2,177,178,17.64,1,1
S99,0,2,160,161,23.86,1,1
P54,1,2,165,166,2.85,0,1
P56,1,2,165,166,5.43,0,1
P57,1,2,165,166,2.37,0,1
P58,1,2,165,166,6.57,0,1
P59,1,2,165,166,1.93,0,1
P60,1,2,166,167,3.2,0,1
S31,0,1,164,165,5.32,1,1
P70,1,2,180,181,1.93,1,1
P71,1,2,180,181,2.63,1,1
S178,0,2,163,164,5.32,1,1
P1,1,1,161,241,10.65,0,0
P15,1,1,189,191,31.25,0,1
P16,1,1,189,191,31.55,0,1
P21,1,1,190,191,2.23,0,1
P23,1,1,194,195,26.89,0,1
P24,1,1,194,195,34.76,0,1
P25,1,1,194,195,35.32,0,1
S26,0,1,163,164,34.32,0,1
S52,0,1,166,167,36.39,0,1
S54,0,1,167,169,1.87,0,1
S56,0,1,168,169,1.74,0,1
S57,0,1,168,169,2.04,0,1
S80,0,1,180,274,1.53,0,0
P52,1,2,163,165,12.46,0,1
P62,1,2,167,168,26.84,0,1
P64,1,2,174,175,34.76,0,1
P65,1,2,174,175,2.98,0,1
P66,1,2,175,176,26.89,0,1
P72,1,2,188,189,27.99,0,1
P73,1,2,188,189,31.55,0,1
P74,1,2,188,189,31.25,0,1
P84,1,2,164,242,10.65,0,0
P87,1,2,174,302,35.32,0,0
P93,1,2,180,254,2.23,0,0
S127,0,2,164,167,1.74,0,1
S158,0,2,167,168,1.53,0,1
S159,0,2,167,168,6.34,0,1
S160,0,2,167,168,2.04,0,1
S167,0,2,174,175,34.32,0,1
S172,0,2,174,175,1.87,0,1
P40,1,1,185,301,10.67,1,0
S13,0,1,160,161,12.04,1,1
S14,0,1,160,161,4.14,1,1
S33,0,1,164,165,11.86,1,1
S48,0,1,166,168,4.55,1,1
P50,1,2,160,259,12.64,0,1
P55,1,2,166,259,10.67,0,1
P63,1,2,172,173,11.86,0,1
S109,0,2,162,163,4.55,0,1
S164,0,2,172,173,4.14,0,1
S182,0,2,161,259,11.89,0,0
S85,0,2,160,162,12.04,0,1
S70,0,1,159,272,11.89,0,1
S176,0,2,178,179,1.63,1,1
S194,0,2,168,260,3.62,1,0
P92,1,2,180,256,8.48,0,0
P27,1,1,195,196,25.86,0,1
P28,1,1,195,196,21.15,0,1
S18,0,1,162,163,29.55,0,1
S23,0,1,162,163,20.32,0,1
S29,0,1,164,166,37.99,0,1
S30,0,1,164,166,31.38,0,1
S38,0,1,165,166,36.58,0,1
S39,0,1,165,166,32.42,0,1
S40,0,1,165,166,31.44,0,1
S41,0,1,165,166,25.55,0,1
S42,0,1,165,166,21.27,0,1
S43,0,1,165,166,22.78,0,1
S44,0,1,165,166,36.77,0,1
S45,0,1,165,166,30.47,0,1
S49,0,1,166,167,35.29,0,1
S58,0,1,168,169,27.07,0,1
S67,0,1,177,178,19.81,0,1
S9,0,1,159,163,21.32,0,1
S106,0,2,162,163,20.32,0,1
S107,0,2,162,163,21.32,0,1
S112,0,2,162,163,29.55,0,1
S113,0,2,163,167,32.42,0,1
S116,0,2,163,164,36.77,0,1
S119,0,2,164,168,35.29,0,1
S131,0,2,164,165,36.58,0,1
S132,0,2,165,166,31.38,0,1
S151,0,2,165,166,31.44,0,1
S156,0,2,167,168,30.47,0,1
P10,1,1,185,186,0.84,0,1
P11,1,1,185,186,48.34,0,1
P12,1,1,186,188,15.53,0,1
P13,1,1,187,188,21.41,0,1
P14,1,1,188,190,12.82,0,1
P17,1,1,189,190,44.33,0,1
P18,1,1,189,193,47.8,0,1
P19,1,1,189,193,42.92,0,1
P2,1,1,165,170,20.87,0,1
P20,1,1,190,193,8.78,0,1
P26,1,1,195,197,30.34,0,1
P3,1,1,171,186,8.65,0,1
P32,1,1,166,245,23.18,0,0
P34,1,1,173,252,12.22,0,0
P36,1,1,179,256,45.27,0,0
P37,1,1,180,293,15.67,0,0
P38,1,1,181,262,15.69,0,0
P4,1,1,179,180,51.98,0,1
P5,1,1,179,184,3.11,0,1
P6,1,1,180,181,44.92,0,1
P7,1,1,185,186,13.76,0,1
