name,year,trt,entry,exit,event,dturb
'0525.151.530',3,post,7,12,1,0.26
'0548.150.153',4,post,6,7,1,4.08
'0551.151.930',4,post,7,31,1,0.21
'0556.151.922',3,post,5,45,0,16.51
'0562.151.159',2,pre,7,52,0,7.30
'0562.151.159',3,post,1,33,0,9.26
'0568.151.062',4,post,7,18,1,27.88
'0569.151.593',3,post,4,6,0,8.67
'0571.151.201',4,post,6,21,0,18.80
'0572.150.352',2,pre,8,52,0,1.16
'0572.150.352',3,post,1,16,0,4.11
'0573.150.281',2,pre,9,11,1,0.49
'0576.150.122',4,post,6,8,1,2.98
'0579.150.682',4,post,7,14,0,0.21
'0583.151.871',4,post,6,14,0,1.91
'0591.151.242',3,post,4,52,0,17.03
'0591.151.242',4,post,1,13,0,17.44
'0593.150.320',2,pre,8,52,0,8.09
'0593.150.320',3,post,1,24,0,7.66
'0599.151.311',3,post,5,11,1,0.43
'0600.151.230',2,pre,6,10,1,4.71
'0697.150.082',4,post,5,8,1,5.89
'0699.150.141',4,post,6,14,0,4.65
'0705.150.302',4,post,7,8,0,1.25
'0709.150.752',4,post,6,15,0,4.88
'0713.150.431',4,post,6,48,1,1.08
'0717.151.530',4,post,6,11,0,0.17
'0720.151.380',4,post,6,24,1,1.96
'0721.151.370',4,post,5,14,1,17.35
'0725.150.731',4,post,5,23,1,2.88
'0726.151.044',5,post,10,29,1,2.92
'0727.150.942',4,post,7,18,0,0.32
'0728.151.163',5,post,4,33,0,15.97
'0729.150.392',4,post,5,6,0,6.24
'0730.150.882',5,post,9,42,0,5.34
'0731.150.102',5,post,11,14,1,8.45
'0732.151.183',4,post,5,6,0,6.11
'0733.150.361',5,post,4,16,0,3.06
'0734.151.001',5,post,6,9,1,4.18
'0735.151.022',5,post,6,10,1,0.53
'0736.150.621',5,post,7,18,1,9.98
'0737.151.791',4,post,6,17,0,3.57
'0738.150.222',5,post,8,13,0,5.21
'0739.150.902',5,post,6,13,1,0.26
'0740.150.601',5,post,6,18,1,16.38
'0741.151.443',4,post,6,10,0,5.69
'0742.150.742',5,post,7,40,0,7.72
'0743.150.202',5,post,6,7,0,7.26
'0747.150.101',4,post,7,11,1,3.09
'0761.150.282',4,post,6,8,1,0.35
'0764.150.512',4,post,6,8,0,2.77
'0766.151.851',3,post,3,52,0,9.49
'0766.151.851',4,post,1,7,0,9.47
'0767.151.022',2,pre,8,9,1,8.05
'0768.150.090',2,pre,8,52,0,7.61
'0768.150.090',3,post,1,30,0,8.38
'0769.150.570',2,pre,7,52,0,17.33
'0769.150.570',3,post,1,33,0,16.79
'0771.150.453',2,pre,8,52,0,5.30
'0771.150.453',3,post,1,2,0,3.07
'0772.151.861',2,pre,7,52,0,4.46
'0772.151.861',3,post,1,52,0,4.36
'0772.151.861',4,post,1,5,0,4.24
'0773.150.160',2,pre,8,15,1,5.13
'0774.151.519',3,post,7,24,0,0.46
'0775.151.430',3,post,7,52,0,3.09
'0775.151.430',4,post,1,31,0,3.27
'0777.151.593',3,post,7,52,0,16.65
'0777.151.593',4,post,1,19,0,16.48
'0779.150.100',2,pre,8,13,0,5.84
'0780.150.142',5,post,6,41,0,7.73
'0781.151.570',2,pre,7,17,1,6.08
'0783.151.370',3,post,5,17,1,1.18
'0785.150.740',2,pre,9,11,0,5.30
'0786.151.771',3,post,7,20,0,0.23
'0787.151.740',3,post,2,3,0,6.33
'0788.150.182',3,post,5,52,0,6.15
'0788.150.182',4,post,1,52,0,6.20
'0788.150.182',5,post,1,42,0,6.13
'0789.151.781',4,post,7,12,1,0.22
'0794.151.951',4,post,7,8,0,2.37
'0795.150.061',5,post,6,33,0,24.63
'0796.150.552',4,post,7,16,0,4.39
'0800.150.821',4,post,7,52,0,2.91
'0800.150.821',5,post,1,41,0,2.36
'0801.151.311',2,pre,7,16,1,2.69
'0835.151.771',4,post,5,16,0,9.69
'0840.150.262',5,post,6,13,1,28.72
'0841.150.962',5,post,6,14,1,0.39
'0842.150.543',5,post,11,12,1,27.53
'0844.150.242',5,post,6,41,0,3.07
'0850.150.082',5,post,7,42,0,17.30
'0855.150.462',5,post,5,40,0,3.43
'0856.151.490',4,post,7,15,0,5.69
'0857.150.760',4,post,10,52,0,2.83
'0857.150.760',5,post,1,41,0,2.76
'0861.150.740',4,post,7,15,0,0.33
'0866.151.750',4,post,7,25,0,3.84
'0867.151.822',3,post,5,52,0,1.94
'0867.151.822',4,post,1,43,0,2.04
'0869.151.822',2,pre,6,52,0,4.15
'0869.151.822',3,post,1,22,0,4.13
'0871.151.760',2,pre,7,10,1,17.63
'0872.151.920',2,pre,7,37,1,5.69
'0873.151.411',2,pre,6,7,0,7.27
'0874.151.289',2,pre,5,52,0,0.20
'0874.151.289',3,post,1,31,0,0.39
'0875.151.589',2,pre,6,10,1,2.66
'0876.151.429',3,post,3,7,0,5.49
'0882.150.942',4,post,6,52,0,22.10
'0882.150.942',5,post,1,38,0,21.94
'0886.151.990',4,post,4,16,0,1.39
'0890.150.153',4,post,8,52,0,2.12
'0890.150.153',5,post,1,24,0,0.52
'0905.150.772',4,post,6,16,1,5.02
'0923.150.858',4,post,7,14,1,2.75
'0924.151.909',4,post,6,52,0,0.50
'0924.151.909',5,post,1,17,0,1.78
'0930.150.942',5,post,6,14,1,5.71
'0931.150.702',5,post,7,41,0,0.41
'0933.150.342',5,post,6,8,1,7.73
'0934.151.102',5,post,7,41,0,4.05
'0936.151.510',4,post,6,9,0,3.62
'0937.150.242',4,post,7,15,1,0.41
'0938.150.851',4,post,7,52,0,4.69
'0938.150.851',5,post,1,28,0,4.19
'0942.151.682',3,post,5,52,0,17.08
'0942.151.682',4,post,1,27,0,22.80
'0943.150.073',4,post,7,34,0,3.81
'0944.150.522',5,post,6,41,0,3.17
'0947.150.481',5,post,7,34,0,16.22
'0973.150.302',5,post,6,11,1,27.26
'0974.150.821',5,post,7,10,1,4.36
'0975.150.002',5,post,6,40,0,26.89
'0976.151.064',5,post,7,41,0,3.04
'0977.150.661',5,post,7,42,0,16.79
'0978.150.281',5,post,7,25,1,0.63
'0979.150.502',5,post,6,9,1,7.39
'0980.150.922',5,post,6,12,1,5.40
'0981.151.001',5,post,10,18,1,7.72
'0982.150.422',5,post,11,26,1,6.02
'0983.150.781',5,post,7,9,0,2.11
'0984.150.581',5,post,6,22,1,2.11
'0986.151.143',5,post,5,40,0,1.43
'0987.150.442',5,post,5,32,0,7.96
'0988.150.801',5,post,6,8,1,28.18
'0989.150.982',5,post,6,40,0,32.12
'0990.150.121',5,post,7,10,1,16.53
'0993.150.162',5,post,6,41,0,2.28
'0996.150.402',5,post,7,41,0,0.28
'0997.150.322',5,post,5,37,0,14.70
'6173.151.893',2,pre,5,15,1,3.23
'6181.151.640',2,pre,6,11,0,2.92
'6185.150.772',2,pre,3,6,0,7.08
'6198.151.721',2,pre,7,52,0,26.14
'6198.151.721',3,post,1,30,0,26.73
'6211.150.110',2,pre,4,8,1,26.62
'6236.150.651',2,pre,3,24,1,5.71
'6241.151.519',2,pre,8,9,1,26.47
'6242.150.431',2,pre,4,5,0,26.61
'6242.150.431',3,post,2,15,0,29.35
'6287.150.512',2,pre,6,52,0,2.75
'6287.150.512',3,post,1,14,1,3.40
'6289.151.263',2,pre,4,15,1,1.22
'6290.150.621',2,pre,3,14,0,6.48
'6291.151.077',2,pre,3,8,1,6.35
'6549.151.530',3,post,5,6,1,6.70
'6550.150.890',2,pre,3,4,0,5.72
'6553.151.170',4,post,5,15,0,12.06
'6555.151.560',2,pre,3,8,0,4.83
'6568.150.181',2,pre,5,14,1,17.15
'6802.150.020',1,pre,5,52,0,4.32
'6802.150.020',2,pre,1,6,1,6.20
'6803.150.070',1,pre,5,6,1,0.21
'6805.151.841',1,pre,6,52,0,0.91
'6805.151.841',2,pre,1,7,0,1.16
'6806.150.070',1,pre,5,52,0,2.82
'6806.150.070',2,pre,1,3,1,3.21
'6807.150.060',1,pre,1,52,0,0.66
'6807.150.060',2,pre,1,2,1,0.69
'6824.151.740',1,pre,9,15,1,5.97
'6825.151.990',1,pre,8,9,1,2.90
'6827.151.782',1,pre,7,52,0,16.57
'6827.151.782',2,pre,1,20,1,16.13
'6828.150.219',2,pre,7,34,1,13.93
'6829.150.392',2,pre,5,17,1,2.10
'6830.151.791',1,pre,7,16,1,3.63
'6832.151.182',3,post,4,7,0,4.19
'6835.151.982',2,pre,2,3,0,16.10
'6837.151.942',2,pre,5,19,1,15.29
'6842.150.371',2,pre,6,14,0,4.24
'6858.150.562',5,post,7,30,1,2.18
'6862.151.771',1,pre,7,12,1,2.92
'6862.151.802',1,pre,12,13,0,0.02
'6863.151.661',1,pre,7,8,0,18.30
'6865.151.802',1,pre,8,18,1,0.07
'6867.151.681',1,pre,8,52,0,1.13
'6867.151.681',2,pre,1,9,0,3.03
'6869.151.620',1,pre,8,12,1,22.13
'6874.150.300',2,pre,8,29,1,4.68
'6884.151.893',1,pre,7,8,1,3.42
'6886.151.962',1,pre,7,14,1,3.88
'6887.151.882',1,pre,6,7,0,2.38
'6888.151.942',1,pre,6,36,1,4.53
'6903.151.380',2,pre,5,52,0,17.63
'6903.151.380',3,post,1,2,1,5.46
'6906.150.350',2,pre,3,52,0,12.18
'6906.150.350',3,post,1,3,0,12.94
'6911.151.443',1,pre,6,7,1,17.23
'6921.151.348',1,pre,7,34,1,17.04
'6922.151.360',1,pre,6,52,0,15.72
'6922.151.360',2,pre,1,52,0,15.72
'6922.151.360',3,post,1,5,0,15.55
'6931.150.930',2,pre,4,12,1,26.80
'6950.151.499',2,pre,5,52,0,26.86
'6950.151.499',3,post,1,3,0,27.01
'6965.151.340',1,pre,7,8,1,16.80
'6980.151.141',2,pre,7,8,1,4.28
'6984.151.443',2,pre,4,52,0,6.06
'6984.151.443',3,post,1,14,0,5.58
'6985.151.421',1,pre,7,8,1,16.70
'6988.150.200',2,pre,7,52,0,4.13
'6988.150.200',3,post,1,39,0,3.19
'6998.151.970',1,pre,8,11,1,4.84
'7082.150.457',5,post,10,35,0,6.15
'7092.151.930',3,post,6,18,1,6.03
'7093.151.380',3,post,5,13,1,5.57
'7095.151.151',3,post,4,12,0,5.34
'7095.151.151',4,post,4,5,0,5.66
'7095.151.882',3,post,5,7,1,19.28
'7096.151.640',3,post,6,14,0,6.75
'7096.151.640',4,post,3,13,0,4.41
'7097.151.760',3,post,6,17,0,8.42
'7098.151.570',3,post,6,18,0,6.77
'7099.151.588',3,post,5,52,0,6.32
'7099.151.588',4,post,1,15,0,6.16
'7100.151.071',3,post,20,52,0,1.67
'7100.151.071',4,post,1,19,1,1.75
'7101.151.893',3,post,6,11,0,1.23
'7102.151.489',3,post,8,13,0,6.88
'7103.151.230',4,post,6,13,0,5.87
'7104.150.041',4,post,5,52,0,4.44
'7104.150.041',5,post,1,18,1,5.58
'7105.151.661',3,post,7,33,0,2.23
'7105.151.661',4,post,6,24,0,2.69
'7106.151.201',3,post,7,14,0,0.27
'7107.151.781',3,post,5,13,0,18.95
